England : wales 0.6,scotland 0.5,english_people 0.49,cardiff 0.48,english_midlands 0.48,welsh_language 0.47,mandarin 0.46,gaelic_scots 0.46,yorkshire 0.45,mandarin_dialects 0.45,welsh_english 0.44,southern_england 0.44,british_english 0.44,netherlands_national_football_team 0.44,great_britain 0.43,west_country 0.43,manchester_united_kingdom 0.43,standard_cantonese 0.42,english 0.42,american_english 0.42
Anna_Faris : the_house_bunny 0.69,paul_rudd 0.6,chris_pratt 0.59,seth_rogen 0.59,rashida_jones 0.59,isla_fisher 0.58,justin_long 0.58,kristen_bell 0.58,zooey_deschanel 0.57,elizabeth_banks 0.57,adam_sandler 0.56,bill_hader 0.56,kristen_wiig 0.56,heather_graham 0.56,maya_rudolph 0.55,bradley_cooper 0.55,just_friends 0.55,zach_galifianakis 0.55,jonah_hill 0.55,jason_segel 0.55
Silesia : upper_silesia 0.66,silesian_voivodeship 0.63,pomerania 0.62,lower_silesia 0.58,rybnik 0.57,province_of_silesia 0.56,katowice 0.55,poland 0.54,lesser_poland 0.53,gorzow_wielkopolski 0.52,kielce 0.52,lublin 0.51,zaolzie 0.51,krakow 0.5,posen_district 0.5,greater_poland 0.5,cesky_tesin 0.49,warsaw 0.49,szczecin 0.49,subcarpathian_voivodeship 0.48
Gary_Punch : wendy_machin 0.6,nrma 0.58,australian_automobile_association 0.51,royal_automobile_club_of_victoria 0.49,david_borger 0.48,eric_roozendaal 0.47,new_wales 0.47,john_watkins 0.46,andrew_stoner 0.46,fuelwatch 0.46,morris_iemma 0.46,barry_ofarrell 0.46,sydney_chamber_of_commerce 0.45,royal_automobile_club_of_queensland 0.45,royal_automobile_association 0.45,royal_australian_corps_of_transport 0.45,david_campbell_bulli 0.45,john_robbo_robertson 0.45,duncan_gay 0.45,nathan_rees 0.45
MMMBop : hanson 0.54,sex_and_candy 0.48,how_you_remind_me 0.47,middle_of_nowhere 0.47,the_freshmen 0.46,sell_out 0.45,meet_in_the_middle 0.45,hanging_by_a_moment 0.44,wheres_the_love 0.43,flavor_of_the_weak 0.42,penny_me 0.42,sticks_and_stones 0.42,taylor_hanson 0.42,deep_blue_something 0.42,seven_nation_army 0.42,voices_carry 0.41,when_i_woke 0.41,an_honest_mistake 0.41,jude_law_and_a_semester_abroad 0.41,backstreets_back 0.41
Philadelphia_Big_5 : palestra 0.65,saint_josephs_hawks 0.64,lasalle 0.62,temple_owls 0.59,hagan_arena 0.58,fran_dunphy 0.56,penn_quakers 0.56,villanova 0.56,city_6 0.56,villanova_wildcats 0.55,tom_gola_arena 0.55,atlantic_ten_conference 0.55,la_salle_explorers 0.52,phil_martelli 0.52,liacouras_center 0.51,explorers 0.5,drexel_dragons 0.5,saint_joseph_parish_barbados 0.5,fordham_bronx 0.49,the_pavilion 0.49
Royal_Institute_of_British_Architects : gg8q9k 0.76,j26wn1 0.76,stirling_prize 0.72,architects_journal 0.65,stephen_hodder 0.62,royal_gold_medal 0.59,wilkinson_eyre 0.57,landscape_institute 0.56,3c51pt 0.56,richard_rogers_partnership 0.55,allies_and_morrison 0.55,maxwell_hutchinson 0.54,commission_for_architecture_and_the_built_environment 0.54,edward_cullinan 0.54,niall_mclaughlin_architects 0.53,will_alsop 0.53,foster_and_partners 0.52,royal_society_of_ulster_architects 0.51,maccreanor_lavington 0.51,bennetts_associates 0.51
George_Best_Belfast_City_Airport : belfast_international_airport 0.77,city_of_derry_airport 0.71,manchester_international_airport 0.66,aldergrove_united_kingdom 0.66,bristol_international_airport 0.64,leeds_bradford_international_airport 0.64,edinburgh_airport 0.64,dublin_airport 0.63,shannon_airport 0.63,glasgow_prestwick_international_airport 0.62,flybe 0.61,aer_arann 0.61,london_gatwick_airport 0.61,london_luton_airport 0.61,cork_international_airport 0.61,cardiff_international_airport 0.61,manx2 0.6,london_stansted_airport 0.6,ireland_west_airport_knock 0.6,london_heathrow_airport 0.6
Jane_Gallop : shira_tarrant 0.44,kenneth_gergen 0.42,toril_moi 0.42,hazel_carby 0.41,eve_kosofsky_sedgwick 0.41,daphne_patai 0.41,hilda_raz 0.41,catharine_mackinnon 0.41,katie_roiphe 0.41,5v_b0c 0.4,5xdb12 0.4,aaron_raz_link 0.4,c4hv6f 0.4,laura_kipnis 0.4,5y3lzn 0.4,h65l23 0.4,objectification 0.4,michael_vocino 0.4,5xkwrb 0.4,patricia_hill_collins 0.4
San_Francisco : sf_bay_area 0.65,san_jose 0.63,palo_alto 0.61,san_diego 0.6,oakland_california 0.6,berkeley_california 0.58,sacramento 0.56,menlo_park 0.56,los_angeles 0.55,east_bay 0.55,california 0.54,san_francisco_bay 0.54,san_mateo_county 0.54,burlingame 0.53,alameda_county 0.52,seattle 0.52,boston_massachusetts 0.51,mission_district 0.51,marin_county 0.51,redwood_city 0.5
Seattle : tacoma 0.76,bellevue 0.74,washington 0.71,bellingham_washington 0.7,portland 0.69,spokane 0.67,olympia_washington 0.65,west_seattle_seattle_washington 0.65,federal_way 0.63,issaquah 0.62,seatac 0.61,everett 0.61,bremerton 0.6,vancouver 0.6,yakima 0.6,renton 0.6,bothell 0.6,woodinville 0.59,puget_sound 0.59,bainbridge_island 0.59
